Week,Deleted,Sent,Total,Description
4,758,456,1214,Normal
5,843,573,1416,Announcement
6,730,490,1220,Normal
7,441,122,563,Vacation
8,672,474,1146,Normal
9,541,223,764,Travel
10,725,467,1192,Normal
11,719,394,1113,Travel
12,713,425,1138,Normal
13,654,365,1019,Normal
14,598,208,806,Travel
15,807,451,1258,Normal
16,788,424,1212,Normal
17,728,392,1120,Normal
18,695,339,1034,Normal
19,642,294,936,Normal
20,826,430,1256,Normal
21,707,360,1067,Travel
22,615,316,931,Travel
23,604,197,801,Travel
24,627,318,945,Normal
25,624,315,939,Normal
26,604,348,952,Normal
27,582,317,899,Normal
28,706,323,1029,Normal
29,696,323,1019,Normal
30,723,293,1016,Normal
31,654,348,1002,Normal
32,585,292,877,Normal
33,666,342,1008,Normal
34,397,51,448,Vacation
35,380,65,445,Vacation
36,707,384,1091,Travel
37,757,337,1094,Normal
38,616,208,824,Travel
39,646,323,969,Normal
40,629,237,866,Travel
41,613,259,872,Travel
42,683,374,1057,Normal
43,768,419,1187,Normal
44,625,248,873,Travel
45,781,438,1219,Normal
46,574,205,779,Travel
47,464,235,699,Vacation
48,647,346,993,Normal
49,747,400,1147,Normal
50,731,392,1123,Normal
51,399,76,475,Holiday
52,175,37,212,Holiday
